countryCode,plantName,eprtrFacilityID
"AT","Energie AG Oberösterreich Kraftwerke GmbH, Standort Timelkam, KW Timelkam GuD","5779"
"AT","EVN AG, EVN AG Kraftwerk Korneuburg, KWK Block B","5748"
"AT","EVN AG, EVN AG Kraftwerk Theiß Gedersdorf, KW Theiß Kombiblock B",
"AT","EVN AG, EVN AG Kraftwerk Theiß Gedersdorf, KWT Hilfskessel 2+3",
"AT","EVN AG, EVN AG Kraftwerk Theiß Gedersdorf, KWT Maschine 1",
"AT","EVN AG, EVN AG Kraftwerk Theiß Gedersdorf, KWT Maschine 2",
"AT","EVN AG, EVN AG Kraftwerk Theiß Gedersdorf, KWT Maschine 4",
"AT","Fernwärme St. Pölten GmbH, Fernheizwerk NORD, Dampfkesselanlage 3",
"AT","Fernwärme St. Pölten GmbH, Fernheizwerk SÜD, Dampfkesselanlage 1-4",
"AT","Fernwärme Wien GesmbH, Arsenal, Heißwasserkessel 1/2",
"AT","Fernwärme Wien GesmbH, Arsenal, Heißwasserkessel 3",
"AT","Fernwärme Wien GesmbH, Inzersdorf, Heißwasserkessel 1/2",
"AT","Fernwärme Wien GesmbH, Kagran, Heißwasserkessel 1/2/3/5",
"AT","Fernwärme Wien GesmbH, Leopoldau, Heißwasserkessel",
"AT","Fernwärme Wien GesmbH, Spittelau, Heißwasserkessel 1/2","5899"
"AT","Gas Connect Austria GmbH, Verdichterstation Baumgarten, Compressor 2","52028"
"AT","Gas Connect Austria GmbH, Verdichterstation Baumgarten, Compressor 500","52028"
"AT","Gas Connect Austria GmbH, Verdichterstation Baumgarten, Compressor 600","52028"
"AT","Gas Connect Austria GmbH, Verdichterstation Baumgarten, Compressor 700","52028"
"AT","Gas Connect Austria GmbH, Verdichterstation Eggendorf, Compressor 100",
"AT","Gas Connect Austria GmbH, Verdichterstation Eggendorf, Compressor 200",
"AT","Gas Connect Austria GmbH, Verdichterstation Eggendorf, Compressor 300",
"AT","Gas Connect Austria GmbH, Verdichterstation Grafendorf, Compressor 400","30043"
"AT","Gas Connect Austria GmbH, Verdichterstation Grafendorf, Compressor 500","30043"
"AT","Gas Connect Austria GmbH, Verdichterstation Grafendorf, Compressor 600","30043"
"AT","Gas Connect Austria GmbH, Verdichterstation Ruden, Compressor 400",
"AT","Gas Connect Austria GmbH, Verdichterstation Ruden, Compressor 500",
"AT","Gas Connect Austria GmbH, Verdichterstation Weitendorf, Compressor 100","160671"
"AT","Gas Connect Austria GmbH, Verdichterstation Weitendorf, Compressor 200","160671"
"AT","Gas Connect Austria GmbH, Verdichterstation Weitendorf, Compressor 300","160671"
"AT","Jungbunzlauer Austria AG, Werk Pernhofen, Kesselanlage 1","5854"
"AT","Jungbunzlauer Austria AG, Werk Pernhofen, Kesselanlage 2","5854"
"AT","Lenzing AG, Energie-, Faser-, Zellstoff- u. Papierprod., Gaskessel 1K6","5763"
"AT","Lenzing AG, Energie-, Faser-, Zellstoff- u. Papierprod., Laugekessel 2K10","5763"
"AT","Lenzing AG, Energie-, Faser-, Zellstoff- u. Papierprod., Laugekessel 2K6","5763"
"AT","Lenzing AG, Energie-, Faser-, Zellstoff- u. Papierprod., Laugekessel 2K7","5763"
"AT","Linz Strom GmbH, FHKW Mitte, FHKW Mitte GuD 1b","5806"
"AT","Linz Strom GmbH, FHKW Mitte, FHKW Mitte GuD1","5806"
"AT","Linz Strom GmbH, FHKW Mitte, FHKW Mitte Kamin","5806"
"AT","Linz Strom GmbH, FHKW Süd","5807"
"AT","Mayr-Melnhof Karton Gesellschaft m.b.H., 60t/h- Kessel","110684"
"AT","Mondi Frantschach GmbH, CK 3 - Laugenverbrennungskessel",
"AT","Mondi Frantschach GmbH, RIK - Rindenverbrennungskessel",
"AT","Mondi Neusiedler AG, Mondi Neusiedler AG - Hausmening, 100 to-Kessel",
"AT","Nettingsdorfer Papierfabrik AG & Co KG, Gaskessel","5927"
"AT","Nettingsdorfer Papierfabrik AG Co KG, Sodakessel 3","5927"
"AT","Norske Skog Bruck GmbH, GuD / Kessel 7","5947"
"AT","OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS07 Platformer & KEP","5858"
"AT","OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS10 Rohöldestillation 4","5858"
"AT","OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS11 Ethylenanlage","5858"
"AT","OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS13 FCC-Anlage","5858"
"AT","OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS15 neu Kraftwerk 1, 2 und Ostanlagen","5858"
"AT","OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS16 Wasserstoffanlage","5858"
"AT","OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS17 Thermal Gasoil Unit (TGU)","5858"
"AT","Salzburg AG f. Energie Verkehr und Telekommunikation, HKW Mitte, HKW Mitte Gasturbine und Abhitzekessel","65082"
"AT","Salzburg AG f. Energie Verkehr und Telekommunikation, HKW Mitte, HKW Mitte SÖK","65082"
"AT","Salzburg AG f. Energie Verkehr und Telekommunikation, HKW Nord, HKW Nord Block 1","65082"
"AT","Sappi Austria Produktions-GmbH & Co. KG, GuD-Anlage",
"AT","Sappi Austria Produktions-GmbH & Co. KG, Kessel 11",
"AT","Sappi Austria Produktions-GmbH & Co. KG, Laugenkessel",
"AT","Schweighofer Fiber GmbH, TABA Kessel 5",
"AT","Stadtwerke Klagenfurt AG, FHKW Klagenfurt",
"AT","Steirische Gas-Wärme GmbH, Fernheizkraftwerk Graz, Kessel 1-3",
"AT","Steirische Gas-Wärme GmbH, Fernheizkraftwerk Thondorf, Gasturbine + Abhitzekessel",
"AT","UPM Kymmene Austria GmbH, UPM Steyrermühl, GuD-Anlage Gasturbine mit Abhitzekessel","193329"
"AT","UPM Kymmene Austria GmbH, UPM Steyrermühl, Kessel K7 K8 Steamblockanlage","193329"
"AT","VERBUND Thermal Power GmbH & Co KG, Verbund ATP FHKW Neudorf-Werndorf 2","5943"
"AT","VERBUND Thermal Power GmbH & Co KG, Verbund VTP Mellach, WGM Linie 1","5943"
"AT","VERBUND Thermal Power GmbH & Co KG, Verbund VTP Mellach, WGM Linie 2","5943"
"AT","VERBUND Thermal Power GmbH Co KG, Verbund ATP KW Dürnrohr, WDR 1+2 Hauptkessel",
"AT","voestalpine Stahl Donawitz GesmbH, voestalpine Stahl Donawitz GmbH, Dampfkessel 01","5857"
"AT","voestalpine Stahl Donawitz GesmbH, voestalpine Stahl Donawitz GmbH, Gasturbine und Abhitzekessel (GuD-Anlage)","5857"
"AT","voestalpine Stahl Donawitz GesmbH, voestalpine Stahl Donawitz GmbH, Kombikessel Heißdampferzeuger","5857"
"AT","voestalpine Stahl GmbH, Blockkessel 03",
"AT","voestalpine Stahl GmbH, Blockkessel 04",
"AT","voestalpine Stahl GmbH, Blockkessel 05",
"AT","voestalpine Stahl GmbH, Blockkessel 06",
"AT","Voestalpine Stahl GmbH, Blockkessel 07",
"AT","voestalpine Stahl GmbH, Gas- und Dampfturbine",
"AT","voestalpine Stahl GmbH, Gebläsezentrale 2 - Kessel 1",
"AT","voestalpine Stahl GmbH, voestalpine Stahl GmbH, Gebläsezentrale 2 - Kessel 2",
"AT","W.Hamburger GmbH, Kessel 3","193336"
"AT","WIEN ENERGIE GmbH, Kraftwerk Donaustadt, Blockkraftwerk 3","5906"
"AT","WIEN ENERGIE GmbH, Kraftwerk Leopoldau, KW Leopoldau GUD",
"AT","WIEN ENERGIE GmbH, Kraftwerk Simmering, Blockheizkraftwerk 3","5905"
"AT","WIEN ENERGIE GmbH, Kraftwerk Simmering, Blockkraftwerk 1 - Gasturbine 41","5905"
"AT","WIEN ENERGIE GmbH, Kraftwerk Simmering, Blockkraftwerk 1 - Gasturbine 42","5905"
"AT","WIEN ENERGIE GmbH, Kraftwerk Simmering, Blockkraftwerk 2","5905"
"AT","WIEN ENERGIE GmbH, Kraftwerk Simmering, Blockkraftwerk 2 - Gasturbine solo","5905"
"AT","WIEN ENERGIE GmbH, Kraftwerk Simmering, Blockkraftwerk 3 - Gasturbine solo","5905"
"AT","WIENENERGIE Bundesforste Biomasse GmbH & Co KG, BHKW - Wirbelschichtkessel","51997"
"AT","Zellstoff Pöls Aktiengesellschaft, Sulfatlaugenkessel 1 und Steambloc","65062"
"AT","Zellstoff Pöls Aktiengesellschaft, Sulfatlaugenkessel 2","65062"
"BE","A & S ENERGIE","177674"
"BE","AGFA - GEVAERT MORTSEL G1-2-5","14594"
"BE","BASF ANTWERPEN","14602"
"BE","BASF ANTWERPEN","14602"
"BE","BASF ANTWERPEN","14602"
"BE","Beneo Orafti","182284"
"BE","Biowanze","98623"
"BE","BOREALIS POLYMERS","14807"
"BE","BP CHEMBEL","14597"
"BE","BP CHEMBEL","14597"
"BE","Cellardennes 70 m",
"BE","Centrale Elec. Electrabel Amercoeur III","182361"
"BE","Centrale Elec. Electrabel Awirs t4","182254"
"BE","Centrale Elec. Electrabel Awirs t5","182254"
"BE","Cierreux",
"BE","CITRIQUE BELGE","14718"
"BE","Cockerill Ougrée : centrale sidérurgique","182428"
"BE","Cockerill Seraing : centrale 1",
"BE","Cockerill Seraing : centrale 2",
"BE","Deux-Acren",
"BE","DOW  BELGIUM","182255"
"BE","E. ON GENERATION BELGIUM","14830"
"BE","E. ON GENERATION BELGIUM","14830"
"BE","E. ON GENERATION BELGIUM","14830"
"BE","E. ON GENERATION BELGIUM","14830"
"BE","E. ON GENERATION BELGIUM Vilvoorde","14827"
"BE","EDF LUMINUS","14751"
"BE","EDF LUMINUS",
"BE","EDF LUMINUS","14751"
"BE","EDF LUMINUS Ringvaart","14750"
"BE","ELECTRABEL - CENTRALE RUIEN","14828"
"BE","ELECTRABEL - CENTRALE RUIEN","14828"
"BE","ELECTRABEL - CENTRALE RUIEN","14828"
"BE","ELECTRABEL - CENTRALE RUIEN","14828"
"BE","ELECTRABEL - TJ BEERSE",
"BE","ELECTRABEL  WKK LANXESS (BAYER)","14831"
"BE","Electrabel Baudour","182437"
"BE","ELECTRABEL CENTRALE AALST",
"BE","ELECTRABEL CENTRALE DROGENBOS","14829"
"BE","ELECTRABEL CENTRALE DROGENBOS","14829"
"BE","ELECTRABEL CENTRALE HERDERSBRUG","14834"
"BE","ELECTRABEL CENTRALE KNIPPEGROEN","160690"
"BE","ELECTRABEL CENTRALE RODENHUIZE","14833"
"BE","ELECTRABEL SITE LANXESS RUBBER","98856"
"BE","Electrabel Solvay","182330"
"BE","ELECTRABEL TURBOJET AALTER",
"BE","ELECTRABEL TURBOJET NOORDSCHOTE",
"BE","ELECTRABEL TURBOJET ZEDELGEM",
"BE","ELECTRABEL TURBOJET ZELZATE",
"BE","ELECTRAWINDS BIOSTOOM","174291"
"BE","ESSENT ENERGIE BELGIE","65737"
"BE","EVONIK DEGUSSA ANTWERPEN ","14620"
"BE","EVONIK DEGUSSA ANTWERPEN ","14620"
"BE","EXXONMOBIL PETROLEUM & CHEMICAL - ESSO RAFFINADERIJ ","14731"
"BE","EXXONMOBIL PETROLEUM & CHEMICAL - ESSO RAFFINADERIJ ","14731"
"BE","EXXONMOBIL PETROLEUM & CHEMICAL - ESSO RAFFINADERIJ ","14731"
"BE","EXXONMOBIL PETROLEUM & CHEMICAL - ESSO RAFFINADERIJ ","14731"
"BE","FINA ANTWERP OLEFINS - OLEFINENFABRIEK","14740"
"BE","FINA ANTWERP OLEFINS - OLEFINENFABRIEK","14740"
"BE","FLUXYS-LNG-TERMINAL","14649"
"BE","INDEPENDENT BELGIAN REFINERY","14758"
"BE","INDEPENDENT BELGIAN REFINERY","14758"
"BE","INDEPENDENT BELGIAN REFINERY","14758"
"BE","Industrie du bois Vielsalm","182370"
"BE","INEOS","14746"
"BE","INEOS","14746"
"BE","INEOS PHENOL BELGIUM","14848"
"BE","INEOS PHENOL BELGIUM","14848"
"BE","INEOS PHENOL BELGIUM","14848"
"BE","Iscal sugar","182289"
"BE","LANXESS","15620"
"BE","LANXESS nv","15145"
"BE","LANXESS nv","15145"
"BE","MONSANTO EUROPE","14692"
"BE","MONSANTO EUROPE","14692"
"BE","OLEON ","14621"
"BE","Raffinerie Tirlemontoise Wanze","182397"
"BE","SAPPI LANAKEN","14641"
"BE","SAPPI LANAKEN","14641"
"BE","SPE-Angleur","182219"
"BE","SPE-Monsin","182219"
"BE","SPE-Seraing","182271"
"BE","SYRAL BELGIUM","14793"
"BE","T POWER","182171"
"BE","TIENSE SUIKERRAFFINADERIJ","14666"
"BE","TOTAL RAFFINADERIJ ANTWERPEN","14847"
"BE","TOTAL RAFFINADERIJ ANTWERPEN","14847"
"BE","TOTAL RAFFINADERIJ ANTWERPEN","14847"
"BE","TOTAL RAFFINADERIJ ANTWERPEN","14847"
"BE","TOTAL RAFFINADERIJ ANTWERPEN","14847"
"BE","TOTAL RAFFINADERIJ ANTWERPEN","14847"
"BE","TOTAL RAFFINADERIJ ANTWERPEN","14847"
"BE","TOTAL RAFFINADERIJ ANTWERPEN","14847"
"BE","Turbojet Buda",
"BE","Turbojet Volta (Ixelles)",
"BE","TURBO-JET ZEEBRUGGE",
"BE","Turon",
"BE","UMICORE ","14813"
"BE","ZANDVLIET POWER - TERREIN BASF ","14602"
"BG","DHP ""Burgas""","15877"
"BG","DHP ""Dalkia"" (ex.DHP ""Vl.Varnenchik"")","99082"
"BG","DHP ""Lulin""",
"BG","DHP ""Plovdiv sever""","15879"
"BG","DHP ""Turnovo""",
"BG","DHP ""Vratsa Gradska""""",
"BG","DHP ""Vratsa Mladost""",
"BG","DHP ""Zemliane""","15880"
"BG","TPP ""Agrobiohim""",
"BG","TPP ""Bobov dol""","15872"
"BG","TPP ""Brikel""","15796"
"BG","TPP ""Brikel""","15796"
"BG","TPP ""Deven""","15810"
"BG","TPP ""Gabrovo""","65883"
"BG","TPP ""Himernergo""",
"BG","TPP ""Kazanlak""","65907"
"BG","TPP ""Kremikovtsi""",
"BG","TPP ""Lukoil""","157617"
"BG","TPP ""Maritsa 3""","15874"
"BG","TPP ""Maritsa 3""","15874"
"BG","TPP ""Maritsa Iztok 2""","15875"
"BG","TPP ""Maritsa Iztok 3""","15875"
"BG","TPP ""Nova Plama""","15878"
"BG","TPP ""Pirinhart""",
"BG","TPP ""Pleven""",
"BG","TPP ""Plovdiv Ug""",
"BG","TPP ""Republika""","15884"
"BG","TPP ""Rousse Iztok""","15885"
"BG","TPP ""Rousse Zapad""","193243"
"BG","TPP ""Shumen""",
"BG","TPP ""Sliven""","15887"
"BG","TPP ""Sofia Iztok""","15881"
"BG","TPP ""Sofia""","15882"
"BG","TPP ""St.K Stamboliiski""","65916"
"BG","TPP ""Sviloza""","15858"
"BG","TPP ""Varna""","15873"
"BG","TPP ""Vidahim""","15802"
"BG","TPP ""Zaharni Zavodi""","15822"
"BG","TPP AЕS ""Gulubovo""",
"CY","Dhekelia Power Station - Plant 1","7447"
"CY","Dhekelia Power Station - Plant 2","7447"
"CY","Dhekelia Power Station - Plant 3","7447"
